sample_id,chain_file,chain_sha256,row_index
0,bounce_bound_shoes.1.txt,f1f205cdb57fe67c519f3f23ec3e2649f9f0d96010c92f4ead02799ee93c1b34,9221
1,bounce_bound_shoes.1.txt,f1f205cdb57fe67c519f3f23ec3e2649f9f0d96010c92f4ead02799ee93c1b34,10463
2,bounce_bound_shoes.2.txt,5ac7511d38439e1e541abadb66241cec768ebd21a18be5ea847fedba31531eda,11374
3,bounce_bound_shoes.2.txt,5ac7511d38439e1e541abadb66241cec768ebd21a18be5ea847fedba31531eda,9658
4,bounce_bound_shoes.3.txt,9db82a2a874a5e867aa053bab73f4e8a69ec63bd289b8116b40a85e5a275c2c0,3911
5,bounce_bound_shoes.2.txt,5ac7511d38439e1e541abadb66241cec768ebd21a18be5ea847fedba31531eda,6293
6,bounce_bound_shoes.1.txt,f1f205cdb57fe67c519f3f23ec3e2649f9f0d96010c92f4ead02799ee93c1b34,9719
7,bounce_bound_shoes.4.txt,13c82524d50414cc4d5820f5aa9ea8c674770c7306027f4806f079c5a32dd995,9684
8,bounce_bound_shoes.2.txt,5ac7511d38439e1e541abadb66241cec768ebd21a18be5ea847fedba31531eda,10701
9,bounce_bound_shoes.1.txt,f1f205cdb57fe67c519f3f23ec3e2649f9f0d96010c92f4ead02799ee93c1b34,4064
10,bounce_bound_shoes.2.txt,5ac7511d38439e1e541abadb66241cec768ebd21a18be5ea847fedba31531eda,10766
11,bounce_bound_shoes.2.txt,5ac7511d38439e1e541abadb66241cec768ebd21a18be5ea847fedba31531eda,3978
12,bounce_bound_shoes.2.txt,5ac7511d38439e1e541abadb66241cec768ebd21a18be5ea847fedba31531eda,4729
13,bounce_bound_shoes.1.txt,f1f205cdb57fe67c519f3f23ec3e2649f9f0d96010c92f4ead02799ee93c1b34,10915
14,bounce_bound_shoes.1.txt,f1f205cdb57fe67c519f3f23ec3e2649f9f0d96010c92f4ead02799ee93c1b34,10304
15,bounce_bound_shoes.1.txt,f1f205cdb57fe67c519f3f23ec3e2649f9f0d96010c92f4ead02799ee93c1b34,5999
16,bounce_bound_shoes.4.txt,13c82524d50414cc4d5820f5aa9ea8c674770c7306027f4806f079c5a32dd995,7306
17,bounce_bound_shoes.3.txt,9db82a2a874a5e867aa053bab73f4e8a69ec63bd289b8116b40a85e5a275c2c0,8365
18,bounce_bound_shoes.1.txt,f1f205cdb57fe67c519f3f23ec3e2649f9f0d96010c92f4ead02799ee93c1b34,5644
19,bounce_bound_shoes.3.txt,9db82a2a874a5e867aa053bab73f4e8a69ec63bd289b8116b40a85e5a275c2c0,10500
