channel,classification,full_value,eft_matched_value,normalization,raw_shift
background,REPRESENTED_POST_MATCH_RESIDUAL,-0.013511674,-0.013510510275160727,0.013511674,8.612736210718362e-05
scalar_kinetic,REPRESENTED_POST_MATCH_RESIDUAL,1.0,0.9999999880801556,1.0,1.191984447453197e-08
tensor_kinetic,REPRESENTED_POST_MATCH_RESIDUAL,1.0,0.9999535705280832,1.0,4.6429471916818996e-05
cs2,REPRESENTED_POST_MATCH_RESIDUAL,1.0,0.9999999968452717,1.0,3.154728256629811e-09
cT2,REPRESENTED_POST_MATCH_RESIDUAL,1.0,1.0,1.0,0.0
gravity,REPRESENTED_POST_MATCH_RESIDUAL,1.0,0.9999998966520852,1.0,1.0334791482375509e-07
V,REPRESENTED_POST_MATCH_RESIDUAL,1.0,0.9999139254279387,1.0,8.607457206129652e-05
F,WILSON_COEFFICIENT_SHIFT,1.0000047882981176,1.0000047882981176,1.0,4.788298117631187e-06
H,WILSON_COEFFICIENT_SHIFT,1.0000082434766118,1.0000082434766118,1.0,8.243476611802409e-06
W,WILSON_COEFFICIENT_SHIFT,1.0005886830810817,1.0005886830810817,1.0,0.0005886830810817306
K,WILSON_COEFFICIENT_SHIFT,1.000016228870892,1.000016228870892,1.0,1.6228870892102958e-05
truncation_remainder,UNREPRESENTED_TRUNCATION_REMAINDER,1.3423290421032625e-07,0.0,1.0,1.3423290421032625e-07
