channel,classification,metric
background,REPRESENTED_POST_MATCH_RESIDUAL,8.612736210717805e-05
scalar_kinetic,REPRESENTED_POST_MATCH_RESIDUAL,1.191984444481875e-08
tensor_kinetic,REPRESENTED_POST_MATCH_RESIDUAL,4.6429471916797915e-05
cs2,REPRESENTED_POST_MATCH_RESIDUAL,3.1547282564048373e-09
cT2,REPRESENTED_POST_MATCH_RESIDUAL,0.0
gravity,REPRESENTED_POST_MATCH_RESIDUAL,1.033479147816152e-07
V,REPRESENTED_POST_MATCH_RESIDUAL,8.607457206133429e-05
F,WILSON_COEFFICIENT_SHIFT,4.788298117631187e-06
H,WILSON_COEFFICIENT_SHIFT,8.243476611802409e-06
W,WILSON_COEFFICIENT_SHIFT,0.0005886830810817306
K,WILSON_COEFFICIENT_SHIFT,1.6228870892102958e-05
truncation_remainder,UNREPRESENTED_TRUNCATION_REMAINDER,1.3423290421032625e-07
